Province,Type,Cd,Year,Reference
Chongqing,Mining/smelting soils,2.97325,2021.0,渝西某煤矿区土壤重金属污染程度及其特征分析
Chongqing,Urban soils,0.28,2021.0,重庆市主城区土壤重金属形态特征及风险评价
Chongqing,Agricultural soils,0.39,2021.0,农地土壤重金属Pb和Cd有效性测定方法的筛选与评价
Chongqing,Agricultural soils,0.4,,
Chongqing,Agricultural soils,0.45,,
Chongqing,Agricultural soils,0.42,,
Chongqing,Agricultural soils,0.44,2021.0,汞矿区周边土壤重金属空间分布特征、污染与生态风险评价
Chongqing,Mining/smelting soils,2.39,2022.0,重庆市某矿区煤矸山周边耕地土壤重金属分布特征与污染评价
Chongqing,Mining/smelting soils,0.38,,
Chongqing,Mining/smelting soils,10.4,2022.0,某铅锌尾矿库周边土壤重金属污染特征及其来源分析
Chongqing,Mining/smelting soils,0.83,2022.0,重庆市煤矸山周边农用地土壤重金属污染评价和定量溯源解析
Chongqing,Agricultural soils,0.8799999999999999,2022.0,重庆汞矿区耕地土壤和农作物重金属污染状况及健康风险评价
Chongqing,Urban soils,0.72,2022.0,海绵城市生物滞留带重金属污染特征及风险评价
Chongqing,Agricultural soils,0.28,2022.0,垫江县农用地土壤潜在重金属毒性污染评价及源解析
Chongqing,Agricultural soils,0.395,2022.0,典型锰矿区周边农田土壤重金属污染风险评价及其来源分析
Chongqing,Agricultural soils,0.55,2023.0,基于蒙特卡罗模拟的煤矸山周边农用地土壤重金属健康风险评估
Chongqing,Agricultural soils,0.39,2024.0,重庆某农业集中区土壤重金属污染评价与来源解析
Chongqing,Mining/smelting soils,0.37,2024.0,基于源导向的锰矿尾矿库周边土壤重金属风险评估
Chongqing,Mining/smelting soils,0.21,2024.0,重庆某铁矿区周边耕地土壤重金属污染评价及来源解析
Chongqing,Urban soils,0.33,2023.0,重庆市垫江南部土壤重金属污染及潜在生态风险评价
Chongqing,Urban soils,1.7,2024.0,重庆城口地区黑色页岩风化土壤重金属元素的富集特征和健康风险评价
Xichuan,Agricultural soils,0.41,2021.0,"Analysis of the spatial distribution of heavy metals in an area of farmland in Sichuan province, China"
Xichuan,Mining/smelting soils,4.45,2021.0,"Effect of different industrial activities on soil heavy metal pollution, ecological risk, and health risk"
Xichuan,Mining/smelting soils,0.07,,
Xichuan,Mining/smelting soils,0.26,,
Xichuan,Mining/smelting soils,0.09,,
Xichuan,Mining/smelting soils,0.26,,
Xichuan,Mining/smelting soils,1.1,,
Xichuan,Urban soils,0.25,,长江经济带
Xichuan,Urban soils,0.211,,
Xichuan,Urban soils,0.553,,
Xichuan,Urban soils,0.458,,
Xichuan,Urban soils,0.306,,
Xichuan,Urban soils,0.248,,
Xichuan,Urban soils,0.298,,
Xichuan,Urban soils,0.259,,
Xichuan,Urban soils,0.348,,
Xichuan,Urban soils,0.334,,
Xichuan,Urban soils,0.283,,
Xichuan,Urban soils,0.295,,
Xichuan,Urban soils,0.415,,
Xichuan,Urban soils,0.464,,
Xichuan,Industrial soils,0.2,2024.0,"Distribution Characteristics, Source Analysis of Heavy Metal(oid)s, and Ecological and Health Risk Assessment around Shale Gas Extraction Platform in Sichuan, China"
Xichuan,Agricultural soils,0.221,2022.0,Spatial distribution characteristics of heavy metal(loid)s health risk in soil at scale on town level
Xichuan,Agricultural soils,0.84,2022.0,"Health risk assessment of heavy metals in soils and food crops from a coexist area of heavily industrialized and intensively cropping in the Chengdu Plain, Sichuan, China"
Xichuan,Industrial soils,1.66,2022.0,"Pollution Characteristics, Spatial Distribution, and Health Risk Assessment of Soil Heavy Metal(loid)s in Panxi District, Southwest China: A Typical Industrial City"
Xichuan,Agricultural soils,0.81,2021.0,Source Identification of Cd and Pb in Typical Farmland Topsoil in the Southwest of China: A Case Study
Xichuan,Industrial soils,11.33,2025.0,Spatial distribution characteristics and comprehensive assessment of environmental and health risks of heavy metal contaminated soil around an industrial area
Xichuan,Industrial soils,0.96,2021.0,"Contamination, sources and health risk of heavy metals in soil and dust from different functional areas in an industrial city of Panzhihua City, Southwest China"
Xichuan,Industrial soils,1.6,2024.0,"Evaluation and Source Apportionment on Potentially Toxic Elements Pollution of Agricultural Soil in Mango Planting Areas in Panzhihua City, China"
Xichuan,Industrial soils,0.28,2021.0,"Distribution and ecological risk assessment of arsenic and some trace elements in soil of different land use types, Tianba Town, China"
Xichuan,Industrial soils,0.25,,
Xichuan,Industrial soils,0.25,,
Xichuan,Industrial soils,0.25,,
Xichuan,Industrial soils,0.26,,
Xichuan,Agricultural soils,0.18,2024.0,"Quantification of sources and potential risks of cadmium, chromium, lead, mercury and arsenic in agricultural soils in a rapidly urbanizing region of southwest China: the case of Chengdu"
Xichuan,Agricultural soils,0.3,,
Xichuan,Agricultural soils,0.4,2024.0,"Pollution Characteristics and Risk Assessment of Heavy Metals in Dujiangyan Irrigation District, China"
Xichuan,Agricultural soils,0.19,2024.0,"Ecological risk and spatial distribution, sources of heavy metals in typical purple soils, southwest China"
Xichuan,Mining/smelting soils,0.59,2022.0,"Pollution characteristics and probabilistic health risk of potentially hazardous elements in soils near a typical coal mine in Panzhihua City, Southwest China"
Xichuan,Urban soils,0.29,2023.0,Soil potentially toxic element pollution at different urbanization intensities: Quantitative source apportionment and source-oriented health risk assessment
Xichuan,Urban soils,0.33,,
Xichuan,Urban soils,0.33,,
Xichuan,Natural soils,0.84,2024.0,"Pollution level and distribution characteristics of heavy metals and microplastics in the soils from the Qionghai Lake Wetland, Southwest China"
Xichuan,Natural soils,0.51,2021.0,雅安某化工厂周边土壤重金属的污染状况及污染评价研究
Xichuan,Industrial soils,0.53,2021.0,成都市工业区绿地土壤重金属形态分布特征及生态风险评价
Xichuan,Urban soils,0.77,2021.0,基于乡镇尺度的农田土壤中污染物来源解析及风险评价
Xichuan,Urban soils,1.07,,
Xichuan,Industrial soils,2.96,2022.0,典型工业园区周边农田土壤重金属污染及生态危害评价
Xichuan,Natural soils,0.27,2022.0,金沙江攀枝花河段土壤重金属污染状况及生态风险评价
Xichuan,Natural soils,0.22,,
Xichuan,Natural soils,0.29,,
Xichuan,Mining/smelting soils,0.79,2022.0,攀枝花煤矿区周围农田重金属污染特征及风险分析
Xichuan,Agricultural soils,0.39,2022.0,山地平原过渡带耕地土壤重金属空间特征及潜在生态风险因素探析
Xichuan,Urban soils,0.28,2022.0,城乡融合区土壤元素地球化学特征与源解析：以天府新区青龙片区为例
Xichuan,Urban soils,4.04,2023.0,成都市不同功能区表层土壤中重金属元素分布特征及风险评价
Xichuan,Agricultural soils,1.09,2023.0,磷化工区农田土壤重金属的空间变化与源解析
Xichuan,Industrial soils,0.62,2023.0,雅西某铅锌冶炼企业周边土壤重金属污染及生态风险评价
Xichuan,Industrial soils,11.05,2023.0,四川铅锌冶炼工业区周边土壤重金属地球化学特征及源解析
Xichuan,Mining/smelting soils,1.17,2024.0,攀西某工矿区农田土壤重金属污染特征及环境现状
Xichuan,Mining/smelting soils,36.23,2021.0,某区域内矿区土壤重金属污染与生态风险评价
Xichuan,Mining/smelting soils,1.09,,
Xichuan,Agricultural soils,0.34,2021.0,中国西南典型地质背景区土壤重金属分布及生态风险特征
Xichuan,Mining/smelting soils,0.19,2021.0,川西九龙地区锂铍矿区土壤重金属分布特征及生态风险评价
Xichuan,Agricultural soils,1.03,2022.0,江安县红桥镇典型煤矿周边农田土壤重金属污染及生态风险评价
Xichuan,Mining/smelting soils,3.99,2022.0,攀枝花钒钛矿区土壤重金属健康风险研究
Xichuan,Industrial soils,2.96,2022.0,典型工业园区周边农田土壤重金属污染及生态危害评价
Xichuan,Industrial soils,0.3,2023.0,四川省典型工业园区周边土壤重金属风险评价及来源分析
Xichuan,Agricultural soils,0.29,2024.0,川东丘陵区农田土壤重金属污染分析及生态风险评价
Xichuan,Industrial soils,5.49,2024.0,四川攀西地区典型金属采选与冶炼企业周边农用地重金属污染评价及来源解析
Henan,Industrial soils,2.6,2023.0,"Spatial Distribution and Risk Assessment of Heavy Metal(oid)s Contamination in Topsoil around a Lead and Zinc Smelter in Henan Province, Central China"
Henan,Agricultural soils,0.21,2023.0,"Spatial Distribution, Contamination Assessment and Origin of Soil Heavy Metals in the Danjiangkou Reservoir, China"
Henan,Urban soils,0.22,2024.0,Spatial distribution characteristics and pollution evaluation of soil heavy metals in Wulongdong National Forest Park
Henan,Urban soils,0.15,2024.0,湖北6
Henan,Natural soils,5.93,2024.0,"Evaluation of Heavy Metal Contamination and Associated Human Health Risk in Soils around a Battery Industrial Zone in Henan Province, Central China"
Henan,Natural soils,2.04,,
Henan,Mining/smelting soils,4.28,2022.0,"Metal(loid)s Spatial Distribution, Accumulation, and Potential Health Risk Assessment in Soil-Wheat Systems near a Pb/Zn Smelter in Henan Province, Central China"
Henan,Mining/smelting soils,0.73,2023.0,"Ecological risk assessment and early warning of heavy metal cumulation in the soils near the Luanchuan molybdenum polymetallic mine concentration area, Henan Province, central China"
Henan,Mining/smelting soils,5.87,2021.0,"Heavy metal pollution characteristics and health risk evaluation of soil around a tungsten-molybdenum mine in Luoyang, China"
Henan,Natural soils,0.22,2025.0,"Soil heavy metals assessment of the Zhoukou riparian zone base of Shaying river basin, China: spatial distribution, source analysis and ecological risk"
Henan,Natural soils,0.3,2023.0,Analysis and pollution evaluation of heavy metal content in soil of the Yellow River Wetland Reserve in Henan
Henan,Natural soils,0.11,2025.0,"Content, Distribution, and Risk Assessment of Heavy Metals in Sandy Soils of the Ancient Yellow River Course"
Henan,Natural soils,0.13,,
Henan,Natural soils,1.27,2022.0,Heavy metal pollution and risk assessment of farmland soil around abandoned domestic waste dump in Kaifeng City
Henan,Agricultural soils,0.14,2024.0,Health Risk Assessment for Potential Toxic Elements in the Soil and Rice of Typical Paddy Fields in Henan Province
Henan,Industrial soils,0.48,2022.0,"Heavy metals (HMs) in soils of different land-use types in Zhengzhou, China: Occurrence, source and ecological risk"
Henan,Urban soils,0.27,,
Henan,Agricultural soils,0.18,,
Henan,Urban soils,0.43,2023.0,"Heavy metals pollution of soil in central plains urban agglomeration (CPUA), China: human health risk assessment based on Monte Carlo simulation"
Henan,Urban soils,0.4,,
Henan,Urban soils,0.32,,
Henan,Urban soils,0.22,2022.0,"Contamination and source-specific risk analysis of soil heavy metals in a typical coal industrial city, central China"
Henan,Urban soils,0.16,,
Henan,Agricultural soils,1.67,2021.0,典型矿区农用地土壤重金属污染评价分区探讨
Henan,Agricultural soils,0.27,2021.0,平顶山市火葬场周边农田土壤重金属空间分布、富集与来源分析
Henan,Industrial soils,0.71,2021.0,安阳市大型工业区和周围社区土壤中重金属污染特征及健康风险评价
Henan,Industrial soils,0.72,,
Henan,Agricultural soils,0.16,2021.0,南阳盆地东部山区土壤重金属分布特征及生态风险评价
Henan,Industrial soils,2.56,2021.0,河南省典型工业区周边农田土壤重金属分布特征及风险评价
Henan,Natural soils,0.18,2022.0,豫境黄淮海平原土壤重金属背景值研究
Henan,Urban soils,4.61,2022.0,商丘市不同建设用地分区土壤重金属污染特征及评价
Henan,Agricultural soils,0.07,2023.0,城市郊区典型区块农田土壤重金属污染风险评估——以郑州为例
Henan,Natural soils,0.38,2023.0,黄河下游悬河段饮用水源地土壤重金属污染、来源及健康风险
Henan,Mining/smelting soils,1.26,2023.0,河南栾川县钼矿区周边农田土壤重金属污染特征与健康风险评价
Henan,Mining/smelting soils,0.43,2023.0,豫西金矿集区矿业活动对周边农田土壤重金属影响研究
Henan,Industrial soils,12.96,2023.0,三门峡某铅厂遗留场地土壤重金属空间分布特征及来源解析
Henan,Agricultural soils,0.21,2024.0,河南荥阳市耕地土壤重金属分布特征及来源解析
Henan,Mining/smelting soils,3.41,2024.0,洛阳市栾川县矿区周边土壤重金属污染特征、来源与生态风险评价
Henan,Industrial soils,2.76,2025.0,河南省北部某开发区周边耕地土壤重金属风险评价及源解析
Henan,Urban soils,0.19,2021.0,河南省永城市表层土壤重金属地球化学基线值厘定及其累积特征
Henan,Urban soils,0.19,2022.0,豫北某市土壤重金属来源解析及生态风险评价
Henan,Mining/smelting soils,0.36,2022.0,焦作演马煤矿区土壤重金属空间分布与污染评价
Henan,Mining/smelting soils,1.88,2022.0,豫西某钼矿尾矿库土壤重金属污染特征及潜在生态风险评价
Henan,Industrial soils,0.14,2024.0,豫西典型工业区周边农田土壤重金属污染特征、生态风险与来源解析
Henan,Agricultural soils,0.34,2024.0,豫西金矿邻近区农田土壤重金属污染特征及来源解析
Hebei,Industrial soils,1.4,2021.0,Spatial Contamination and Potential Ecological Risk Assessment of Heavy Metals in Farmland Soil around Nonferrous Metal Smeltery in North China
Hebei,Industrial soils,0.53,,
Hebei,Agricultural soils,0.19,2022.0,"Ecological Risk, Input Flux, and Source of Heavy Metals in the Agricultural Plain of Hebei Province, China"
Hebei,Industrial soils,0.69,2021.0,Evaluation of redevelopment priority of abandoned industrial and mining land based on heavy metal pollution
Hebei,Industrial soils,0.1,2023.0,"Variation in pollution status, sources, and risks of soil heavy metals in regions with different levels of urbanization"
Hebei,Agricultural soils,0.18,2022.0,"Ecological and Health Risk Assessment of Heavy Metals in Farmland in the South of Zhangbei County, Hebei Province, China"
Hebei,Agricultural soils,0.2,,
Hebei,Urban soils,0.27,2021.0,Source Apportionment of Topsoil Heavy Metals and Associated Health and Ecological Risk Assessments in a Typical Hazy City of the North China Plain
Hebei,Industrial soils,0.31,2022.0,Source tracing of potentially toxic elements in soils around a typical coking plant in an industrial area in northern China
Hebei,Industrial soils,0.48,,
Hebei,Industrial soils,1.42,2021.0,雄安新区企业周边农田土壤-作物系统重金属污染风险及累积效应
Hebei,Urban soils,0.92,2021.0,雄安新区某金属冶炼区土壤重金属污染程度及风险评价
Hebei,Agricultural soils,0.68,2021.0,雄安新区西南部土壤重金属污染特征及生态风险评价
Hebei,Urban soils,0.22,2022.0,雄安新区土壤地球化学特征及控制因素
Hebei,Urban soils,0.2,2022.0,白洋淀内不同土地利用类型土壤重金属分布特征与污染评价
Hebei,Agricultural soils,0.14,2022.0,香河县农田土壤重金属污染生态与健康风险评价
Hebei,Industrial soils,0.1783333333333333,2022.0,燃煤电厂重金属排放与周边土壤中重金属污染特征及健康风险
Hebei,Urban soils,0.18,2022.0,白洋淀及周边土壤重金属的分布特征及生态风险评估
Hebei,Urban soils,1.59,2022.0,河北阜平县表层土壤重金属对人体健康的风险评估
Hebei,Urban soils,0.16,2023.0,京津冀地区永清县土壤重金属地球化学特征及绿色食品产地的土壤质量评价
Hebei,Urban soils,0.23,2023.0,华北典型工矿城镇土壤重金属来源解析及潜在生态风险评价
Hebei,Mining/smelting soils,1.75,2024.0,河北省典型铅锌矿区重金属来源解析及生态风险评价
Hebei,Urban soils,0.74,2022.0,保定市主城区不同类型绿地土壤化学性质及重金属污染
Hebei,Urban soils,0.16,2023.0,河北省某市工业用地土壤重金属污染现状及风险评估
Hebei,Urban soils,0.22,2024.0,北京市昌平区南口镇土壤重金属污染风险评估及来源分析
Anhui,Industrial soils,0.41,2021.0,Characteristics and potential ecological risks of heavy metalpollution in surface soil aroundcoal-fired power plant
Anhui,Urban soils,0.25,,长江经济带
Anhui,Urban soils,0.154,,
Anhui,Urban soils,0.546,,
Anhui,Urban soils,0.129,,
Anhui,Urban soils,0.159,,
Anhui,Urban soils,0.135,,
Anhui,Urban soils,0.134,,
Anhui,Urban soils,0.11,,
Anhui,Urban soils,0.306,,
Anhui,Urban soils,0.618,,
Anhui,Urban soils,0.336,,
Anhui,Urban soils,0.171,,
Anhui,Urban soils,0.264,,
Anhui,Agricultural soils,0.15,2023.0,"Environmental geochemical baseline determination and pollution assessment of heavy metals in farmland soil of typical coal-based cities: A case study of Suzhou City in Anhui Province, China"
Anhui,Mining/smelting soils,0.22,2021.0,Characteristics of Soil Heavy Metal Contents and Its Source Analysis in Affected Areas of Luning Coal Mine in Huaibei Coalfield
Anhui,Agricultural soils,0.14,2024.0,"Spatial Distribution, Source Analysis, and Health Risk Assessment of Heavy Metals in the Farmland of Tangwang Village, Huainan City, China"
Anhui,Agricultural soils,0.11,2023.0,"CHEMICAL SPECIATION AND RISK ASSESSMENT OF TRACE ELEMENTS IN THE SOIL OF THE AGRICULTURAL AREA IN HUAINAN, CHINA"
Anhui,Mining/smelting soils,0.27,2024.0,"Geochemical characteristics and health risks of heavy metals in agricultural soils and crops from a coal mining area in Anhui province, China"
Anhui,Mining/smelting soils,0.14,2023.0,"Characterization and Ecological Risk Assessment of Toxic Metal Contaminants in the Soil Around the Coal Gangue Hill in Huainan, Central China"
Anhui,Agricultural soils,0.17,2021.0,Geochemical Baseline Establishment and Source-Oriented Ecological Risk Assessment of Heavy Metals in Lime Concretion Black Soil from a Typical Agricultural Area
Anhui,Mining/smelting soils,0.09,2021.0,"Risks Assessment Associated with Different Sources of Metals in Abandoned Soil of Zhuxianzhuang Coal Mine, Huaibei Coalfield (Anhui, China)"
Anhui,Mining/smelting soils,0.09,,
Anhui,Mining/smelting soils,0.11,,
Anhui,Mining/smelting soils,0.1,2021.0,"Quantitative Contributions of the Sources, Contamination and Ecological Risk of Heavy Metals in Soils from a Closed Coal Mine of Huaibei Coalfield, Eastern China"
Anhui,Urban soils,0.39,2021.0,宿州市煤矿区土壤重金属地球化学基线及污染评价研究
Anhui,Mining/smelting soils,0.4,2021.0,皖江经济带土壤Cd空间分布特征与生态风险评价
Anhui,Mining/smelting soils,0.66,,
Anhui,Mining/smelting soils,0.84,,
Anhui,Agricultural soils,0.18,2021.0,皖北煤矿区农田土壤-小麦中重金属分布特征及健康风险评价
Anhui,Urban soils,5.65,2022.0,有色金属矿业城市典型村镇土壤重金属污染评价及来源解析
Anhui,Urban soils,0.4,2022.0,安徽省宣城市南部地区土壤重金属元素地球化学特征
Anhui,Urban soils,0.11,2022.0,垃圾填埋场渗滤液泄漏区域土壤重金属空间分布特征及健康风险评价
Anhui,Urban soils,0.13,2023.0,滁州市表层土壤重金属含量特征、源解析及污染评价
Anhui,Mining/smelting soils,1.03,2024.0,安徽铜陵典型矿区周边土壤重金属污染评价及来源解析
Anhui,Industrial soils,1.09,2025.0,皖北某工业园黑色金属铸造类企业厂区土壤污染特征及评价
Anhui,Agricultural soils,0.2,2025.0,长江流域安庆市耕地土壤重金属污染特征、潜在生态风险及来源
Anhui,Mining/smelting soils,0.28,2025.0,典型煤矸石堆积区土壤重金属特定源健康风险评价及优先控制源分析
Anhui,Urban soils,0.5,2025.0,安徽池州地区土壤重金属污染特征和源解析
Anhui,Urban soils,0.24,2022.0,安徽省宣州区土壤重金属污染风险评估及来源分析
Anhui,Urban soils,0.12,2022.0,合肥市及其郊区土壤重金属富集特征及来源解析
Anhui,Mining/smelting soils,2.14,2023.0,安徽大矾山废弃矾矿区土壤重金属污染特征与健康风险评价
Anhui,Industrial soils,0.16,2023.0,六安市各工业园区土壤及地下水污染状况调查及分析
Anhui,Urban soils,0.5,2025.0,安徽池州地区土壤重金属污染特征和源解析
Anhui,Industrial soils,1.09,2025.0,皖北某工业园黑色金属铸造类企业厂区土壤污染特征及评价
Shanghai,Agricultural soils,0.11,2023.0,Heavy metal contamination in Shanghai agricultural soil
Shanghai,Urban soils,0.23,2022.0,Estimation of the accumulation rates and health risks of heavy metals in residential soils of three metropolitan cities in China
Shanghai,Urban soils,1.09,,
Shanghai,Urban soils,0.19,,
Shanghai,Agricultural soils,0.2,,
Shanghai,Urban soils,0.352,,长江经济带
Shanghai,Industrial soils,2.8,2023.0,"Source Apportionment and Health Risk Assessment of Heavy Metals in Soils of Old Industrial Areas—A Case Study of Shanghai, China"
Shanghai,Industrial soils,1.3,,
Shanghai,Urban soils,0.3,2021.0,Health risk assessment of heavy metal(loid)s in park soils of the largest megacity in China by using Monte Carlo simulation coupled with Positive matrix factorization model
Shanghai,Urban soils,0.19,2024.0,"Characteristics, Source Apportionment, and Health Risk of Heavy Metals in the Soils of Peri-urban Shanghai Chongming Island"
Shanghai,Urban soils,0.4,2021.0,上海城市中心区不同类型绿地土壤重金属污染特征
Shanghai,Agricultural soils,0.18,2022.0,崇明岛农田土壤重金属分布特征及生态风险
Shanghai,Natural soils,0.08,2022.0,长江口新成陆区域土壤重金属分布及风险评价——以上海市横沙东滩为例
Shanghai,Urban soils,0.22,2022.0,基于GIS的上海市不同功能区土壤重金属污染评价及健康风险评估
Shanghai,Industrial soils,0.13,2023.0,典型危废处置利用企业周边土壤重金属分布特征、来源及风险评价
Shanghai,Industrial soils,0.27,2023.0,城市工业区土壤重金属累积特征与来源解析——以上海市闵行区典型工业区为例
Beijing,Urban soils,19.6,2022.0,Estimation of the accumulation rates and health risks of heavy metals in residential soils of three metropolitan cities in China
Beijing,Urban soils,32.8,,
Beijing,Agricultural soils,22.64,,
Beijing,Mining/smelting soils,1.63,2024.0,Exploring the accumulation capacity of dominant plants based on soil heavy metals forms and assessing heavy metals contamination characteristics near gold tailings ponds
Beijing,Mining/smelting soils,725.68,,
Beijing,Natural soils,0.16,2021.0,"The Levels, Sources, and Spatial Distribution of Heavy Metals in Soils from the Drinking Water Sources of Beijing, China"
Beijing,Industrial soils,0.08,2025.0,"Spatial Distribution and Quantitative Source Identification of Heavy Metals in Soil of a Typical Industrial Park, East of China "
Beijing,Urban soils,0.14,2024.0,Prediction of soil heavy metal contents in urban residential areas and the strength of deep learning: A case study of Beijing
Beijing,Urban soils,0.2,2024.0,Investigating the heavy-metal concentrations in soils from rainwater-harvesting green spaces in Beijing
Beijing,Urban soils,0.25,,
Beijing,Urban soils,0.09,,
Beijing,Urban soils,0.24,,
Beijing,Urban soils,0.26,,
Beijing,Mining/smelting soils,0.99,2021.0,"Pollution Assessment of Potentially Toxic Elements (PTEs) in Soils around the Yanzhuang Gold Mine Tailings Pond, Pinggu County, Beijing, China"
Beijing,Mining/smelting soils,4.09,2021.0,"Spatial distribution and risk assessment of pollutants in a tailings pond for gold mining in Pinggu District, Beijing, China"
Beijing,Urban soils,0.19,2023.0,Influencing factors identification and the nested structure analysis of heavy metals in soils in entire city and surrounding the multiple pollution sources
Beijing,Mining/smelting soils,2.8,2021.0,北京某金矿区土壤重金属污染特征及风险评价
Beijing,Industrial soils,0.11,2021.0,北京市海淀区某些重点企业周边表层土壤重金属污染风险评价与变化趋势研究
Beijing,Industrial soils,0.09,,
Beijing,Industrial soils,0.07,,
Beijing,Urban soils,0.17,2021.0,北京平原区土壤地球化学特征及影响因素分析
Beijing,Urban soils,0.15,2022.0,北京市延庆区土壤重金属元素地球化学特征及其来源分析
Beijing,Urban soils,0.19,2024.0,北京市房山区土壤重金属元素分布、富集特征及来源解析
Beijing,Urban soils,0.53,2024.0,北京市通州区绿地土壤重金属源解析及风险评价
Beijing,Mining/smelting soils,0.15,2024.0,北京房山煤矿区土壤重金属元素地球化学分布特征及源解析
Beijing,Urban soils,0.15,2025.0,基于土壤-人体系统的城市用地重金属污染和健康风险评价：以北京城市副中心为例
Beijing,Urban soils,0.17,2022.0,北京东南郊土壤重金属元素分布及其在表层土壤中的富集特征
Tianjin,Agricultural soils,0.24,2021.0,"Source analysis of heavy metal pollution in agricultural soil irrigated with sewage in Wuqing, Tianjin"
Tianjin,Agricultural soils,0.15,2022.0,Accumulation Characteristics and Pollution Evaluation of Soil Heavy Metals in Different Land Use Types: Study on the Whole Region of Tianjin
Tianjin,Urban soils,0.23,2021.0,武清区典型蔬菜种植区土壤中间数的风险评估和空间分布特征
Tianjin,Urban soils,0.4,2021.0,天津市某校园土壤中重金属污染研究及其评价
Tianjin,Agricultural soils,0.23,2024.0,天津市农田土壤重金属来源及健康风险评价
Tianjin,Urban soils,0.39,2021.0,天津市城区不同功能区绿地土壤重金属分布特征及来源研究
Tianjin,Agricultural soils,0.55,2023.0,天津市设施蔬菜土壤质量调查研究
Tianjin,Urban soils,0.26,2023.0,天津市环城四区绿地重金属含量特征及生态风险评价
Tianjin,Agricultural soils,0.83,2025.0,天津市某地区农用地表层土壤重金属污染评价及含量预测分析
Tianjin,Urban soils,0.22,2025.0,津南区土壤地球化学背景值与元素组合特征
Hubei,Urban soils,0.358,,长江经济带
Hubei,Urban soils,0.292,,
Hubei,Urban soils,0.234,,
Hubei,Urban soils,5.222,,
Hubei,Urban soils,0.258,,
Hubei,Urban soils,0.367,,
Hubei,Urban soils,0.168,,
Hubei,Urban soils,0.34,,
Hubei,Urban soils,0.226,,
Hubei,Urban soils,0.313,,
Hubei,Urban soils,0.151,,
Hubei,Urban soils,0.228,,
Hubei,Mining/smelting soils,2.56,2022.0,"Spatial Distribution, Pollution Characteristics and Source of Heavy Metals in Farmland Soils around Antimony Mine Area, Hunan Province"
Hubei,Agricultural soils,2.1,2021.0,"Distribution, source identification, and health risk assessment of heavy metals in the soil-rice system of a farmland protection area in Hubei Province, Central China"
Hubei,Industrial soils,186.4,2021.0,Comprehensive exploration of heavy metal contamination and risk assessment at two common smelter sites
Hubei,Urban soils,2.52,2023.0,Characteristics of Soil Heavy Metal Pollution and Health Risk Assessment in Urban Parks at a Megacity of Central China
Hubei,Natural soils,0.16,2024.0,Accumulation Pattern and Potential Ecological Risk of Heavy Metals in Topsoil as Affected by Diverse Sources in Different Ecosystems in Western Dabie Mountain
Hubei,Agricultural soils,0.31,2023.0,Application of Pb Isotopes and REY Patterns in Tracing Heavy Metals in Farmland Soils from the Upper-Middle Area of Yangtze River
Hubei,Agricultural soils,0.46,,
Hubei,Agricultural soils,0.42,,
Hubei,Agricultural soils,0.14,2021.0,"Source Apportionment and Ecological Risk Assessment of Potentially Toxic Elements in Cultivated Soils of Xiangzhou, China: A Combined Approach of Geographic Information System and Random Forest"
Hubei,Agricultural soils,0.99,2022.0,Imposed by urbanization on soil heavy metal content of lake wetland and evaluation of ecological risks in East Dongting Lake
Hubei,Urban soils,0.79,2025.0,Exploring the Spatial Distribution Characteristics of Urban Soil Heavy Metals in Different Levels of Urbanization
Hubei,Urban soils,1.7,,
Hubei,Industrial soils,0.19,2024.0,Integrated assessment of the pollution and risk of heavy metals in soils near chemical industry parks along the middle Yangtze River
Hubei,Agricultural soils,2.9,2021.0,"Pollution Characteristics and Associated Risk Assessment of Heavy Metals in Farmland Soils From a Typical County of Hubei Province, Central China"
Hubei,Mining/smelting soils,1.34,2023.0,Source-oriented probabilistic health risk assessment of soil potentially toxic elements in a typical mining city
Hubei,Industrial soils,0.32,2022.0,Ecological risk and health risk analysis of soil potentially toxic elements from oil production plants in central China
Hubei,Agricultural soils,1.46,2023.0,Identiﬁcation and hazard analysis of heavy metal sources in agricultural soils in ancient mining areas: A quantitative method based on the receptor model and risk assessment
Hubei,Agricultural soils,0.2,2022.0,"Geochemical baseline assessment and ecological risk evaluation of potentially toxic elements in soils: a case in Han River, China"
Hubei,Mining/smelting soils,1.46,2024.0,Source-specific probabilistic contamination risk and health risk assessment of soil heavy metals in a typical ancient mining area
Hubei,Mining/smelting soils,0.1,2023.0,Assessment of Potentially Toxic Elements Pollution and Human Health Risks in Polluted Farmland Soils around Distinct Mining Areas in China—A Case Study of Chengchao and Tonglushan
Hubei,Mining/smelting soils,2.0,,
Hubei,Mining/smelting soils,9.0,2023.0,New insight into the geochemical mechanism and behavior of heavy metals in soil and dust fall of a typical copper smelter
Hubei,Industrial soils,0.97,2021.0,某工业区土壤重金属污染及生态价值损失评估
Hubei,Urban soils,0.55,2021.0,黄石市城市边缘区土壤重金属分布特征、风险评价及溯源分析
Hubei,Urban soils,0.76,,
Hubei,Urban soils,0.48,,
Hubei,Industrial soils,1.65,2021.0,典型高新技术产业开发区土壤重金属污染物来源及生态风险和产业工人健康风险评价
Hubei,Urban soils,1.24,,
Hubei,Industrial soils,3.55,2021.0,黄石市某地区土壤重金属污染状况研究
Hubei,Urban soils,0.52,2021.0,武汉集中式饮用水源地土壤重金属的时空分布特征及生态风险评价
Hubei,Urban soils,4.02,2022.0,黄石市绿地土壤重金属污染风险评价及来源解析
